,s,d,sc,count,percent,WS_to_apply,WD_to_apply,SC_to_apply
141,4-6,292.5-337.5,D,50011.0,0.06401842300981699,5.0,315.0,4.0
135,4-6,247.5-292.5,D,49994.0,0.06399666153351843,5.0,270.0,4.0
63,2-4,67.5-112.5,D,43693.0,0.055930834347802154,3.0,90.0,4.0
69,2-4,112.5-157.5,D,42648.0,0.05459314359886175,3.0,135.0,4.0
87,2-4,247.5-292.5,D,39529.0,0.05060055274149798,3.0,270.0,4.0
129,4-6,202.5-247.5,D,34963.0,0.04475567622507511,5.0,225.0,4.0
81,2-4,202.5-247.5,D,31594.0,0.04044306365743852,3.0,225.0,4.0
93,2-4,292.5-337.5,D,30290.0,0.03877383041665547,3.0,315.0,4.0
147,6-8,337.5-22.5,D,24496.0,0.031357007259372474,7.0,0.0,4.0
99,4-6,337.5-22.5,D,20989.0,0.026867742707665287,5.0,0.0,4.0
117,4-6,112.5-157.5,D,18059.0,0.02311708826326778,5.0,135.0,4.0
15,0-2,67.5-112.5,D,17116.0,0.021909966372118686,1.0,90.0,4.0
21,0-2,112.5-157.5,D,15910.0,0.020366181641762578,1.0,135.0,4.0
70,2-4,112.5-157.5,E,15288.0,0.01956996762660379,3.0,135.0,5.0
195,8-10,337.5-22.5,D,14592.0,0.018679027185204245,9.0,0.0,4.0
189,6-8,292.5-337.5,D,14116.0,0.018069705848844785,7.0,315.0,4.0
57,2-4,22.5-67.5,D,13821.0,0.017692080230722853,3.0,45.0,4.0
111,4-6,67.5-112.5,D,13330.0,0.017063557591747023,5.0,90.0,4.0
123,4-6,157.5-202.5,D,13108.0,0.016779378313024756,5.0,180.0,4.0
183,6-8,247.5-292.5,D,12780.0,0.016359509829146808,7.0,270.0,4.0
75,2-4,157.5-202.5,D,11003.0,0.01408479551252757,3.0,180.0,4.0
58,2-4,22.5-67.5,E,9909.0,0.012684380508373687,3.0,45.0,5.0
16,0-2,67.5-112.5,E,9768.0,0.012503888263779815,1.0,90.0,5.0
51,2-4,337.5-22.5,D,9451.0,0.012098100735153872,3.0,0.0,4.0
177,6-8,202.5-247.5,D,9165.0,0.011731995898601761,7.0,225.0,4.0
243,>10,337.5-22.5,D,8800.0,0.011264764201603437,15.0,0.0,4.0
110,4-6,67.5-112.5,C,8054.0,0.010309819418149327,5.0,90.0,3.0
64,2-4,67.5-112.5,E,7360.0,0.009421439150431966,3.0,90.0,5.0
22,0-2,112.5-157.5,E,7093.0,0.009079655963860588,1.0,135.0,5.0
62,2-4,67.5-112.5,C,6998.0,0.008958047713956915,3.0,90.0,3.0
105,4-6,22.5-67.5,D,6983.0,0.008938846411340545,5.0,45.0,4.0
231,8-10,247.5-292.5,D,6223.0,0.007965980412111157,9.0,270.0,4.0
17,0-2,67.5-112.5,F,5983.0,0.007658759570249246,1.0,90.0,6.0
171,6-8,157.5-202.5,D,5736.0,0.007342578120499695,7.0,180.0,4.0
159,6-8,67.5-112.5,D,5611.0,0.0071825672653632825,7.0,90.0,4.0
86,2-4,247.5-292.5,C,5555.0,0.0071108824022621695,3.0,270.0,3.0
279,>10,247.5-292.5,D,5195.0,0.006650051139469301,15.0,270.0,4.0
9,0-2,22.5-67.5,D,4782.0,0.006121375274098595,1.0,45.0,4.0
225,8-10,202.5-247.5,D,4239.0,0.005426288119386019,9.0,225.0,4.0
273,>10,202.5-247.5,D,4095.0,0.005241955614268872,15.0,225.0,4.0
10,0-2,22.5-67.5,E,3815.0,0.004883531298763308,1.0,45.0,5.0
23,0-2,112.5-157.5,F,3788.0,0.004848968954053843,1.0,135.0,6.0
118,4-6,112.5-157.5,E,3692.0,0.0047260806173090785,5.0,135.0,5.0
80,2-4,202.5-247.5,C,3682.0,0.004713279748898166,3.0,225.0,3.0
94,2-4,292.5-337.5,E,3561.0,0.004558389241126118,3.0,315.0,5.0
11,0-2,22.5-67.5,F,3122.0,0.003996431117887038,1.0,45.0,6.0
237,8-10,292.5-337.5,D,2996.0,0.003835140175909534,9.0,315.0,4.0
142,4-6,292.5-337.5,E,2830.0,0.003622645760288378,5.0,315.0,5.0
165,6-8,112.5-157.5,D,2795.0,0.0035778427208501824,7.0,135.0,4.0
92,2-4,292.5-337.5,C,2745.0,0.0035138383787956173,3.0,315.0,3.0
153,6-8,22.5-67.5,D,2740.0,0.003507437944590161,7.0,45.0,4.0
68,2-4,112.5-157.5,C,2646.0,0.003387109781527579,3.0,135.0,3.0
39,0-2,247.5-292.5,D,2590.0,0.003315424918426466,1.0,270.0,4.0
52,2-4,337.5-22.5,E,2463.0,0.003152853889607871,3.0,0.0,5.0
14,0-2,67.5-112.5,C,2369.0,0.0030325257265452887,1.0,90.0,3.0
